Downstream distance,Drainage_Area,DEM_VOURAIKOS,Erosional efficiency
40301.34998,237343050,41.2144165,2.10E-11
40296.34998,237342125,41.35470963,2.10E-11
40291.34998,237342075,41.48247528,2.10E-11
40286.34998,237341725,41.65857315,2.10E-11
40279.27894,237339300,41.7900238,2.10E-11
40272.20789,237333650,42.02648544,2.10E-11
40267.20789,237333550,42.36169052,2.10E-11
40262.20789,237333475,42.74085617,2.10E-11
40257.20789,237333425,43.05677032,2.10E-11
40250.13685,237333375,43.14477158,2.10E-11
40243.0658,237325100,43.14477158,2.10E-11
40235.99476,237324750,43.14477158,2.10E-11
40228.92371,237323650,43.14477158,2.10E-11
40221.85267,237322725,43.14477158,2.10E-11
40214.78162,237207825,43.14477158,2.10E-11
40209.78162,237207275,43.14477158,2.10E-11
40202.71058,237207250,43.14477158,2.10E-11
40197.71058,237206900,43.14477158,2.10E-11
40192.71058,237206875,43.14477158,2.10E-11
40187.71058,237206825,43.14477158,2.10E-11
40182.71058,237205725,43.14477158,2.10E-11
40177.71058,237205700,43.14477158,2.10E-11
40172.71058,237205675,43.14477158,2.10E-11
40167.71058,237205600,43.22041321,2.10E-11
40162.71058,237205550,43.50490952,2.10E-11
40155.63953,237205525,43.60918045,2.10E-11
40148.56849,237201750,43.60918045,2.10E-11
40143.56849,237200025,43.60918045,2.10E-11
40136.49744,237199800,43.60918045,2.10E-11
40131.49744,237199350,43.60918045,2.10E-11
40124.4264,237196400,43.60918045,2.10E-11
40119.4264,237196325,43.67648697,2.10E-11
40114.4264,237196100,44.79047012,2.10E-11
40109.4264,237196050,45.40844345,2.10E-11
40104.4264,237193475,45.40844345,2.10E-11
40097.35535,237192125,45.40844345,2.10E-11
40092.35535,237182025,45.40844345,2.10E-11
40087.35535,237182000,45.40844345,2.10E-11
40082.35535,237181975,45.40844345,2.10E-11
40077.35535,237181950,45.40844345,2.10E-11
40072.35535,237181925,45.40844345,2.10E-11
40067.35535,237181900,45.40844345,2.10E-11
40062.35535,237177800,45.98506546,2.10E-11
40055.28431,237177775,46.28118515,2.10E-11
40050.28431,237177750,46.55715179,2.10E-11
40045.28431,237160500,47.32461166,2.10E-11
40038.21326,237157900,48.00185776,2.10E-11
40031.14222,237157175,48.8032341,2.10E-11
40026.14222,237157125,49.22786331,2.10E-11
40021.14222,237157050,49.35923767,2.10E-11
40016.14222,237156925,49.40437317,2.10E-11
40009.07117,237156600,49.7949028,2.10E-11
40004.07117,237155275,50.25112534,2.10E-11
39997.00013,237155200,51.55053329,2.10E-11
39992.00013,237155100,52.44834137,2.10E-11
39984.92908,237155000,54.05600739,2.10E-11
39977.85804,237154925,54.22799683,2.10E-11
39972.85804,237140250,54.5891304,2.10E-11
39965.78699,237140225,54.5891304,2.10E-11
39958.71595,237131675,54.5891304,2.10E-11
39951.6449,237131450,54.5891304,2.10E-11
39944.57386,237130500,54.5891304,2.10E-11
39937.50281,237127450,54.5891304,2.10E-11
39930.43177,237127250,54.5891304,2.10E-11
39923.36072,237126875,54.5891304,2.10E-11
39918.36072,237125700,54.5891304,2.10E-11
39911.28968,237124450,54.5891304,2.10E-11
39906.28968,237123575,54.5891304,2.10E-11
39901.28968,237123500,54.5891304,2.10E-11
39894.21863,237123125,54.6773262,2.10E-11
39887.14759,237121075,54.6773262,2.10E-11
39880.07654,237119925,54.6773262,2.10E-11
39875.07654,237119325,54.6773262,2.10E-11
39868.0055,237119150,54.6773262,2.10E-11
39863.0055,237116975,54.6773262,2.10E-11
39858.0055,237116950,54.6773262,2.10E-11
39853.0055,237116925,54.6773262,2.10E-11
39848.0055,237116900,54.6773262,2.10E-11
39843.0055,237116875,54.69755936,2.10E-11
39838.0055,237116625,55.05264664,2.10E-11
39830.93445,237116575,55.18330383,2.10E-11
39823.86341,237116500,55.18330383,2.10E-11
39816.79236,236965550,55.18330383,2.10E-11
39809.72132,236962525,55.18330383,2.10E-11
